Agriculture
Arts
Business
Construction & Public Works
Other (not yet properly categorized)
Sciences & Technologies
Social Sciences
Sports & Games
Transportation
18:  Category theory; homological algebra
Accounting
Action-oriented
Air tranportation
Animal Training
Animal husbandry
Animal interactions
Architecture
Automation
Ball Sports
Blacksmithing
Business development 
Butchery
Caretaking
Cargo transportation
Cattle
Combat
Combat Sports
Construction & Public Works 1 (to be merged)
Construction & Public Works 2 (to be merged)
Cultivation of land
Design
Digital Arts
Economy
Empathy
Experimental
Extreme Sports
Finance
Fishing
Floriculture
Food Preparation
Games
Homological Algebra
Horizontal transportation
Hunting
Hygiene
Juggling
Land transportation
Liberal Arts
Maintenance
Management
Managerial 
Manufacturing
Marketing
Materials science
Medical and Health
Natural Sciences
Obscure Sports
Passenger transportation
Performing Arts
Permaculture
Racing Sports
Racquet Sports
Research-oriented
Sex
Sport precision
Sports on Ice
Statics
Technologies
Upsetting
Vehicle Handling
Vertical transportation
Visual Arts
Water Sports
Waterway transport
Weight calculation
dynamics
Acupuncture
Advertising
Advisory
Aerial Vehicles
Aerospace
Alcohol
American football
Analysis of trading strategy
Angling
Animal Observation and Identification
Animal Powered Racing
Animal Research
Anthropology
Applied Physics
Archery
Armed Combat
Audio
Audit
Badminton
Balls
Baseball
Basketball
Beauty
Big Game
Biochemistry
Biology
Biotechnology
Bird Hunt
Board and Table-Based Competition
Boating
Body Building
Body Hygiene
Boxing
Bread baking
CAD Design
Calisthenics
Carpentry
Carpentry
Cereals
Cheese making
Chemistry
Civic Architecture
Cleaning
Clubs
Cold reading
Commercial Architecture
Communication
Computer Sciences
Control
Controlling
Convention Sales
Cookery
Coordination
Cricket
Dairy cows
Dance
Darts
Data Sciences
Demolition
Dentistry
Design strategy trading
Digital
Digital Visual Arts
Dip netting
Disk Sports
Dog Handling
Dog Training
Drafting
Economic Development
Economics
Education
Electrician
Electricity
Electronics
Endocrinology
Engineering
Environmental Science
Equestrian Sports
Ergotherapy
External hearing
Fashion Design
Field Hockey
Figure Skating
Film
Financial Analysis
Fine Arts
Flower Arrangement
Football (soccer)
Fruits
Gaelic Football
Game Design
Games
Gardening
General Sciences
Geography
Geology
Heating
History
Hockey
Human Powered Racing
Human Resources
Hurling/Camóige
Ice Racing
Ice Skating
Illustration
In the air
In the water
Industrial Design
Interior Design
Internal hearing
Investing
Ironing
Kitchen
Knowledge of accounting standards
Lacrosse
Land vehicles
Landscape Architecture
Laser Tag
Linguistics
Linguistics
Literature
Macroeconomics
Made from Scratch
Martial Arts
Masonry
Mathematics
Measuring As-Builts
Mechanics
Medicine
Microeconomics
Military vehicles
Motorised Racing
Music
Net fishing
Nursery
Nursing
Nursing
Ocean Sports
Offline
On a Budget
On the ground
Organization
Painting
Performing Arts
Petting
Pharmacology
Philosophy
Photography
Physics
Physiotherapy
Pig farming
Planning
Plumbing
Plumbing
Plunge
Political Sciences
Politics
Polo
Portfolio Analysis
Portfolio Management
Predator
Product design
Pruning
Psychology
Psychology
Racketball
Research
Residential Architecture
Retail Sales
Rings
Rugby
Security
Sewing
Shooting sports
Small Game
Snow Sports
Social Work
Sociology
Speed skating
Squash
Statistics
Swimming
Table tennis
Tactics
Talking
Tax system
Tennis
Textile Design
Traditional Visual Arts
Unarmed Combat
Underwater Sports
Vegetables
Veil
Video Games
Videography
Volleyball
Water ballet
Water polo
Watercraft
Welding
Welding
Wood Working
1 meter
"1,000Volts to 35,000 Volts ""Medium Voltage"""
10 meters
10K
2D Graphics
3 meters
3D Geological Model
3D Graphics
5k
"<1,000 Volts ""Low Voltage"""
">35,000 Volts ""High Voltage"""
Abstract Mathematics
Aeronautical Engineering
Ageing
Agility
Agronomy
Aikidō
Allied Health
Analysis
Analytical Chemistry
Anatomy
Applied Math
Art Design
Artificial Intelligence
Assessment
Astrobiology
Astronomy
Audition
Automotive Design
Baby Sitting
Backstroke
Bakery
Ballet
Beach Volleyball
Behaviorism
Behaviour Analysis
Bicycle Mechanics
Bicycles
Biochemistry
Biology
Biomedical Engineering
Biomimetics
Blocks
Board Games
Boat
Boat Racing
Bobsled
Body Care
Boiling
Botany
Bread types
Breathstroke
Brewing
Brewing Beer
Bridge work
Broiling
Buffalo racing (Kala or Pothu poottu matsara)
Burglar Alarm
Butterfly
CAD/CAM operator
CCTV
Camel racing
Canning
Canoeing
Car Mechanics
Car Racing
Car driving
Carbine shooting
Carbohydrate Biochemistry
Card Access
Card Games
"Card, Board & Dice Games"
Care Planning
Chemical Engineering
Choose a bait
Cinema
Circus
Civil Engineering
Class II/Control Wiring
Cleaning
Climatology
Climbing
Clothes Cleaning
Cluedo
Cockroach Racing
Cognitive Psychology
Combing
Community involvement
Comparative Studies
Competitive Online Gaming
Composite plastic fabricator
Computational Biology
Computer Engineering
Computer Modeling
Computer builder
Computer troubleshooter
Connecting Personally with People
Core Log
Cosplay
Costume-Making
Covered-Sautéing
Creating video games
Creation
Creative Writing
Crew
Critical Thinking
Cross Country
Crossbow
Crypto
Cycling
Cycling
Dance
Data Analysis
Dental
Desserts and pastries
